rank,sequence,airport_A,airport_B,cascade_probability,risk_level
13000,TUL → DFW → CVG,TUL,CVG,0.108,NORMAL
13001,ONT → DFW → PNS,ONT,PNS,0.108,NORMAL
13002,SNA → DFW → GEG,SNA,GEG,0.108,NORMAL
13003,SEA → DFW → SBA,SEA,SBA,0.108,NORMAL
13004,MCI → DFW → BOI,MCI,BOI,0.108,NORMAL
13005,GEG → DFW → SJU,GEG,SJU,0.108,NORMAL
13006,CMH → DFW → RNO,CMH,RNO,0.1079,NORMAL
13007,SJU → DFW → MCI,SJU,MCI,0.1079,NORMAL
13008,CHS → DFW → VPS,CHS,VPS,0.1079,NORMAL
13009,BOS → DFW → PIT,BOS,PIT,0.1078,NORMAL
13010,HNL → DFW → EYW,HNL,EYW,0.1078,NORMAL
13011,RSW → DFW → BOI,RSW,BOI,0.1078,NORMAL
13012,GUC → DFW → MEM,GUC,MEM,0.1078,NORMAL
13013,BOS → DFW → SBA,BOS,SBA,0.1077,NORMAL
13014,BFL → DFW → HSV,BFL,HSV,0.1077,NORMAL
13015,LAS → DFW → MTJ,LAS,MTJ,0.1077,NORMAL
13016,BUR → DFW → CLE,BUR,CLE,0.1077,NORMAL
13017,AMA → DFW → SRQ,AMA,SRQ,0.1077,NORMAL
13018,IND → DFW → ILM,IND,ILM,0.1076,NORMAL
13019,MFE → DFW → AGS,MFE,AGS,0.1076,NORMAL
13020,GEG → DFW → ABQ,GEG,ABQ,0.1075,NORMAL
13021,MDT → DFW → JAC,MDT,JAC,0.1075,NORMAL
13022,FCA → DFW → SDF,FCA,SDF,0.1075,NORMAL
13023,SMF → DFW → SJC,SMF,SJC,0.1075,NORMAL
13024,PBI → DFW → ANC,PBI,ANC,0.1075,NORMAL
13025,MYR → DFW → SRQ,MYR,SRQ,0.1074,NORMAL
13026,GSO → DFW → TUS,GSO,TUS,0.1074,NORMAL
13027,SNA → DFW → BOI,SNA,BOI,0.1074,NORMAL
13028,STS → DFW → PNS,STS,PNS,0.1074,NORMAL
13029,XNA → DFW → LBB,XNA,LBB,0.1074,NORMAL
13030,SJU → DFW → JAC,SJU,JAC,0.1074,NORMAL
13031,MSY → DFW → AUS,MSY,AUS,0.1074,NORMAL
13032,SAT → DFW → ATL,SAT,ATL,0.1073,NORMAL
13033,MSY → DFW → GSO,MSY,GSO,0.1073,NORMAL
13034,CHS → DFW → STS,CHS,STS,0.1072,NORMAL
13035,HNL → DFW → ORF,HNL,ORF,0.1072,NORMAL
13036,BOS → DFW → MYR,BOS,MYR,0.1072,NORMAL
13037,CID → DFW → FCA,CID,FCA,0.1072,NORMAL
13038,RDU → DFW → JAX,RDU,JAX,0.1072,NORMAL
13039,CID → DFW → TUL,CID,TUL,0.1072,NORMAL
13040,BOI → DFW → FCA,BOI,FCA,0.1072,NORMAL
13041,MDT → DFW → LBB,MDT,LBB,0.1072,NORMAL
13042,SAT → DFW → BDL,SAT,BDL,0.1071,NORMAL
13043,SJC → DFW → BOS,SJC,BOS,0.1071,NORMAL
13044,JAX → DFW → SAN,JAX,SAN,0.107,NORMAL
13045,RDM → DFW → BZN,RDM,BZN,0.107,NORMAL
13046,HNL → DFW → DAB,HNL,DAB,0.107,NORMAL
13047,ABQ → DFW → MSY,ABQ,MSY,0.107,NORMAL
13048,SBA → DFW → GSO,SBA,GSO,0.1069,NORMAL
13049,SBA → DFW → FCA,SBA,FCA,0.1068,NORMAL
13050,SMF → DFW → ILM,SMF,ILM,0.1067,NORMAL
13051,MSY → DFW → MSO,MSY,MSO,0.1067,NORMAL
13052,SMF → DFW → PBI,SMF,PBI,0.1066,NORMAL
13053,FCA → DFW → BNA,FCA,BNA,0.1066,NORMAL
13054,BOI → DFW → MSP,BOI,MSP,0.1066,NORMAL
13055,BOS → DFW → OGG,BOS,OGG,0.1066,NORMAL
13056,MEM → DFW → PIT,MEM,PIT,0.1065,NORMAL
13057,PSP → DFW → SMF,PSP,SMF,0.1065,NORMAL
13058,OGG → DFW → BFL,OGG,BFL,0.1065,NORMAL
13059,MSP → DFW → PBI,MSP,PBI,0.1065,NORMAL
13060,SNA → DFW → SBA,SNA,SBA,0.1064,NORMAL
13061,FLL → DFW → PIT,FLL,PIT,0.1064,NORMAL
13062,PSP → DFW → LBB,PSP,LBB,0.1064,NORMAL
13063,ABQ → DFW → TVC,ABQ,TVC,0.1063,NORMAL
13064,COS → DFW → JAC,COS,JAC,0.1063,NORMAL
13065,BOI → DFW → JAX,BOI,JAX,0.1062,NORMAL
13066,HNL → DFW → ELP,HNL,ELP,0.1061,NORMAL
13067,MFE → DFW → KOA,MFE,KOA,0.106,NORMAL
13068,LBB → DFW → SRQ,LBB,SRQ,0.106,NORMAL
13069,COS → DFW → TUS,COS,TUS,0.106,NORMAL
13070,ECP → DFW → MSO,ECP,MSO,0.1059,NORMAL
13071,ECP → DFW → JAC,ECP,JAC,0.1059,NORMAL
13072,ECP → DFW → ABQ,ECP,ABQ,0.1058,NORMAL
13073,LBB → DFW → MSY,LBB,MSY,0.1058,NORMAL
13074,STS → DFW → GSO,STS,GSO,0.1058,NORMAL
13075,RIC → DFW → SMF,RIC,SMF,0.1057,NORMAL
13076,HNL → DFW → JAC,HNL,JAC,0.1057,NORMAL
13077,IND → DFW → CMH,IND,CMH,0.1057,NORMAL
13078,EWR → DFW → RDM,EWR,RDM,0.1057,NORMAL
13079,SMF → DFW → TYS,SMF,TYS,0.1056,NORMAL
13080,MDT → DFW → PDX,MDT,PDX,0.1056,NORMAL
13081,AGS → DFW → RDU,AGS,RDU,0.1055,NORMAL
13082,MSY → DFW → SNA,MSY,SNA,0.1055,NORMAL
13083,GEG → DFW → FSD,GEG,FSD,0.1055,NORMAL
13084,ALB → DFW → PIT,ALB,PIT,0.1055,NORMAL
13085,ECP → DFW → SJC,ECP,SJC,0.1054,NORMAL
13086,GUC → DFW → TUL,GUC,TUL,0.1053,NORMAL
13087,PWM → DFW → MFE,PWM,MFE,0.1053,NORMAL
13088,SBA → DFW → HDN,SBA,HDN,0.1053,NORMAL
13089,GUC → DFW → MKE,GUC,MKE,0.1053,NORMAL
13090,AVL → DFW → JAC,AVL,JAC,0.1053,NORMAL
13091,PHX → DFW → KOA,PHX,KOA,0.1052,NORMAL
13092,LBB → DFW → ABQ,LBB,ABQ,0.1052,NORMAL
13093,ORF → DFW → DEN,ORF,DEN,0.1052,NORMAL
13094,ATL → DFW → CLE,ATL,CLE,0.1052,NORMAL
13095,SNA → DFW → MYR,SNA,MYR,0.1051,NORMAL
13096,PIT → DFW → SEA,PIT,SEA,0.105,NORMAL
13097,KOA → DFW → SRQ,KOA,SRQ,0.105,NORMAL
13098,EUG → DFW → COS,EUG,COS,0.105,NORMAL
13099,IND → DFW → EGE,IND,EGE,0.105,NORMAL
13100,SAT → DFW → SBP,SAT,SBP,0.105,NORMAL
13101,FCA → DFW → ONT,FCA,ONT,0.1049,NORMAL
13102,ATL → DFW → SRQ,ATL,SRQ,0.1049,NORMAL
13103,BDL → DFW → FAT,BDL,FAT,0.1049,NORMAL
13104,BUR → DFW → MYR,BUR,MYR,0.1049,NORMAL
13105,BOI → DFW → SDF,BOI,SDF,0.1048,NORMAL
13106,OGG → DFW → STS,OGG,STS,0.1048,NORMAL
13107,OGG → DFW → SNA,OGG,SNA,0.1048,NORMAL
13108,BUR → DFW → MSY,BUR,MSY,0.1047,NORMAL
13109,SBA → DFW → PIT,SBA,PIT,0.1047,NORMAL
13110,SAN → DFW → KOA,SAN,KOA,0.1046,NORMAL
13111,BFL → DFW → DRO,BFL,DRO,0.1046,NORMAL
13112,XNA → DFW → PDX,XNA,PDX,0.1045,NORMAL
13113,RDM → DFW → RNO,RDM,RNO,0.1045,NORMAL
13114,EUG → DFW → RDM,EUG,RDM,0.1045,NORMAL
13115,OGG → DFW → JAX,OGG,JAX,0.1045,NORMAL
13116,RSW → DFW → AMA,RSW,AMA,0.1045,NORMAL
13117,BOS → DFW → VPS,BOS,VPS,0.1044,NORMAL
13118,IND → DFW → PWM,IND,PWM,0.1044,NORMAL
13119,ANC → DFW → MCI,ANC,MCI,0.1044,NORMAL
13120,STS → DFW → LBB,STS,LBB,0.1043,NORMAL
13121,GSP → DFW → OGG,GSP,OGG,0.1043,NORMAL
13122,PIT → DFW → EGE,PIT,EGE,0.1043,NORMAL
13123,RSW → DFW → STL,RSW,STL,0.1043,NORMAL
13124,JAX → DFW → PSP,JAX,PSP,0.1042,NORMAL
13125,GSO → DFW → PWM,GSO,PWM,0.1041,NORMAL
13126,BUR → DFW → BNA,BUR,BNA,0.104,NORMAL
13127,SMF → DFW → JAC,SMF,JAC,0.104,NORMAL
13128,FCA → DFW → IND,FCA,IND,0.104,NORMAL
13129,MSP → DFW → GSO,MSP,GSO,0.104,NORMAL
13130,ONT → DFW → DRO,ONT,DRO,0.104,NORMAL
13131,STS → DFW → ANC,STS,ANC,0.1039,NORMAL
13132,SEA → DFW → BZN,SEA,BZN,0.1039,NORMAL
13133,AMA → DFW → STS,AMA,STS,0.1039,NORMAL
13134,STS → DFW → PBI,STS,PBI,0.1039,NORMAL
13135,LEX → DFW → MTJ,LEX,MTJ,0.1038,NORMAL
13136,RSW → DFW → COS,RSW,COS,0.1038,NORMAL
13137,FLL → DFW → MSP,FLL,MSP,0.1038,NORMAL
13138,PWM → DFW → ELP,PWM,ELP,0.1038,NORMAL
13139,OGG → DFW → DEN,OGG,DEN,0.1038,NORMAL
13140,BDL → DFW → SRQ,BDL,SRQ,0.1037,NORMAL
13141,OGG → DFW → FCA,OGG,FCA,0.1037,NORMAL
13142,BDL → DFW → AVL,BDL,AVL,0.1037,NORMAL
13143,BDL → DFW → ILM,BDL,ILM,0.1036,NORMAL
13144,SAT → DFW → LGA,SAT,LGA,0.1036,NORMAL
13145,RDU → DFW → GEG,RDU,GEG,0.1036,NORMAL
13146,OGG → DFW → MSO,OGG,MSO,0.1036,NORMAL
