airport,datetime,visibility,wind_speed,storm,ifr,severity,bad_weather
KMNZ,2026-04-16T17:15:00.000Z,8.0,11.0,0,0,0,0
KK88,2026-04-16T17:15:00.000Z,9.0,9.0,0,0,0,0
KBKD,2026-04-16T17:15:00.000Z,5.0,7.0,0,0,0,0
KFYG,2026-04-16T17:15:00.000Z,5.0,5.0,0,0,0,0
KBXK,2026-04-16T17:15:00.000Z,9.0,7.0,0,0,0,0
KPSN,2026-04-16T17:15:00.000Z,9.0,6.0,0,0,0,0
KMGN,2026-04-16T17:15:00.000Z,0.25,4.0,0,1,1,0
KCYD,2026-04-16T17:15:00.000Z,7.0,14.0,0,0,0,0
KTEW,2026-04-16T17:15:00.000Z,2.0,8.0,1,1,3,1
KSKF,2026-04-16T17:15:00.000Z,9.0,8.0,0,0,0,0
KDYB,2026-04-16T17:15:00.000Z,9.0,0.0,0,0,0,0
KAUM,2026-04-16T17:15:00.000Z,9.0,6.0,0,0,0,0
K4O4,2026-04-16T17:15:00.000Z,8.0,11.0,0,0,0,0
KGLY,2026-04-16T17:15:00.000Z,9.0,9.0,0,0,0,0
K3D2,2026-04-16T17:15:00.000Z,4.0,5.0,0,0,0,0
KAGO,2026-04-16T17:15:00.000Z,9.0,6.0,0,0,0,0
KCDH,2026-04-16T17:15:00.000Z,8.0,9.0,0,0,0,0
KD57,2026-04-16T17:15:00.000Z,9.0,5.0,0,0,0,0
KDRM,2026-04-16T17:15:00.000Z,7.0,4.0,0,0,0,0
KEDC,2026-04-16T17:15:00.000Z,7.0,9.0,0,0,0,0
KPQN,2026-04-16T17:15:00.000Z,9.0,25.0,0,0,1,0
KRNP,2026-04-16T17:15:00.000Z,4.0,0.0,1,0,2,1
KSGS,2026-04-16T17:15:00.000Z,7.0,7.0,0,0,0,0
PABE,2026-04-16T17:15:00.000Z,2.0,8.0,1,1,3,1
KW99,2026-04-16T17:15:00.000Z,9.0,8.0,0,0,0,0
KCPT,2026-04-16T17:15:00.000Z,8.0,14.0,0,0,0,0
KMJD,2026-04-16T17:15:00.000Z,8.0,0.0,1,0,2,1
KCVX,2026-04-16T17:15:00.000Z,0.25,4.0,0,1,1,0
KELK,2026-04-16T17:15:00.000Z,9.0,12.0,0,0,0,0
KLUD,2026-04-16T17:15:00.000Z,7.0,8.0,0,0,0,0
KTME,2026-04-16T17:15:00.000Z,9.0,7.0,0,0,0,0
PAAD,2026-04-16T17:15:00.000Z,7.0,6.0,0,0,0,0
KMKS,2026-04-16T17:15:00.000Z,5.0,0.0,0,0,0,0
KX59,2026-04-16T17:15:00.000Z,8.0,9.0,0,0,0,0
KMPE,2026-04-16T17:15:00.000Z,6.0,6.0,0,0,0,0
KNUQ,2026-04-16T17:15:00.000Z,9.0,6.0,0,0,0,0
KN79,2026-04-16T17:15:00.000Z,8.0,7.0,0,0,0,0
KVKS,2026-04-16T17:15:00.000Z,9.0,3.0,0,0,0,0
KJSO,2026-04-16T17:15:00.000Z,9.0,8.0,0,0,0,0
K1R7,2026-04-16T17:15:00.000Z,9.0,3.0,0,0,0,0
K00U,2026-04-16T17:15:00.000Z,8.0,18.0,0,0,0,0
KJYR,2026-04-16T17:15:00.000Z,9.0,12.0,0,0,0,0
K3U3,2026-04-16T17:15:00.000Z,3.0,7.0,1,0,2,1
K42J,2026-04-16T17:15:00.000Z,9.0,0.0,0,0,0,0
K4B8,2026-04-16T17:15:00.000Z,9.0,7.0,0,0,0,0
KLRO,2026-04-16T17:15:00.000Z,8.0,12.0,0,0,0,0
KUNI,2026-04-16T17:15:00.000Z,9.0,11.0,0,0,0,0
KBJI,2026-04-16T17:15:00.000Z,7.0,6.0,0,0,0,0
KBMC,2026-04-16T17:15:00.000Z,0.5,27.0,1,1,4,1
KDNV,2026-04-16T17:15:00.000Z,7.0,21.0,0,0,1,0
KGWR,2026-04-16T17:15:00.000Z,9.0,23.0,0,0,1,0
KT82,2026-04-16T17:15:00.000Z,7.0,7.0,0,0,0,0
KATP,2026-04-16T17:15:00.000Z,7.0,12.0,0,0,0,0
KMCD,2026-04-16T17:15:00.000Z,0.25,4.0,0,1,1,0
KOZW,2026-04-16T17:15:00.000Z,6.0,4.0,1,1,3,1
K18H,2026-04-16T17:15:00.000Z,8.0,5.0,0,0,0,0
K46U,2026-04-16T17:15:00.000Z,2.5,4.0,0,1,1,0
K1U7,2026-04-16T17:15:00.000Z,0.75,22.0,0,1,2,1
K9S2,2026-04-16T17:15:00.000Z,5.0,14.0,0,1,1,0
KHHV,2026-04-16T17:15:00.000Z,7.0,10.0,0,0,0,0
K1S3,2026-04-16T17:15:00.000Z,9.0,15.0,0,0,0,0
KGUL,2026-04-16T17:15:00.000Z,8.0,7.0,0,0,0,0
KEKM,2026-04-16T17:15:00.000Z,2.0,11.0,0,1,1,0
PFZK,2026-04-16T17:14:00.000Z,2.0,7.0,1,1,3,1
PAOU,2026-04-16T17:14:00.000Z,0.5,3.0,0,1,1,0
CYPO,2026-04-16T17:14:00.000Z,6.0,11.0,1,0,2,1
CYET,2026-04-16T17:14:00.000Z,9.0,2.0,0,0,0,0
CYBW,2026-04-16T17:14:00.000Z,2.0,16.0,1,1,3,1
CYQL,2026-04-16T17:13:00.000Z,7.0,14.0,1,0,2,1
PAPM,2026-04-16T17:12:00.000Z,8.0,8.0,1,0,2,1
CYQV,2026-04-16T17:12:00.000Z,0.5,18.0,1,1,3,1
KARR,2026-04-16T17:11:00.000Z,6.0,15.0,0,0,0,0
CYNM,2026-04-16T17:11:00.000Z,9.0,3.0,0,0,0,0
PAMK,2026-04-16T17:11:00.000Z,0.5,0.0,0,1,1,0
WARR,2026-04-16T17:11:00.000Z,4.97,7.0,1,0,2,1
CYTS,2026-04-16T17:11:00.000Z,15.0,2.0,0,0,0,0
SCIE,2026-04-16T17:11:00.000Z,4.35,7.0,0,1,1,0
CYAM,2026-04-16T17:11:00.000Z,0.75,9.0,0,1,1,0
KETC,2026-04-16T17:10:00.000Z,7.0,12.0,0,0,0,0
KEKS,2026-04-16T17:10:00.000Z,7.0,5.0,1,0,2,1
PAKV,2026-04-16T17:10:00.000Z,1.5,0.0,1,1,3,1
PADL,2026-04-16T17:09:00.000Z,0.5,7.0,0,1,1,0
KEKO,2026-04-16T17:09:00.000Z,9.0,4.0,1,0,2,1
PAKN,2026-04-16T17:09:00.000Z,1.0,0.0,0,1,1,0
PAMB,2026-04-16T17:08:00.000Z,0.25,6.0,0,1,1,0
KGPI,2026-04-16T17:08:00.000Z,0.5,9.0,1,1,3,1
CYHA,2026-04-16T17:07:00.000Z,15.0,13.0,1,0,2,1
YPJT,2026-04-16T17:07:00.000Z,5.59,0.0,0,0,0,0
PANW,2026-04-16T17:06:00.000Z,0.5,4.0,1,1,3,1
PAWM,2026-04-16T17:05:00.000Z,2.5,7.0,1,1,3,1
TJBQ,2026-04-16T17:05:00.000Z,7.0,0.0,1,0,2,1
PAVA,2026-04-16T17:05:00.000Z,2.5,10.0,1,1,3,1
PARY,2026-04-16T17:05:00.000Z,0.75,12.0,1,1,3,1
PANV,2026-04-16T17:04:00.000Z,0.25,5.0,1,1,3,1
CYER,2026-04-16T17:04:00.000Z,5.0,12.0,1,0,2,1
PAMH,2026-04-16T17:04:00.000Z,4.0,4.0,1,0,2,1
RCMQ,2026-04-16T17:04:00.000Z,1.99,5.0,0,1,1,0
PAHX,2026-04-16T17:02:00.000Z,4.0,4.0,1,0,2,1
PAMO,2026-04-16T17:02:00.000Z,1.75,10.0,1,1,3,1
CYVV,2026-04-16T17:02:00.000Z,0.5,8.0,1,1,3,1
PAFS,2026-04-16T17:01:00.000Z,8.0,0.0,1,0,2,1
CYXY,2026-04-16T17:00:00.000Z,40.0,3.0,0,0,0,0
CYXX,2026-04-16T17:00:00.000Z,20.0,4.0,0,0,0,0
CYWK,2026-04-16T17:00:00.000Z,15.0,7.0,0,0,0,0
CYWG,2026-04-16T17:00:00.000Z,14.0,22.0,0,0,1,0
CYVP,2026-04-16T17:00:00.000Z,15.0,12.0,1,0,2,1
CYUY,2026-04-16T17:00:00.000Z,4.0,2.0,0,0,0,0
CYTL,2026-04-16T17:00:00.000Z,9.0,8.0,0,0,0,0
CYSJ,2026-04-16T17:00:00.000Z,15.0,7.0,0,0,0,0
CYQX,2026-04-16T17:00:00.000Z,20.0,8.0,0,0,0,0
CYQM,2026-04-16T17:00:00.000Z,15.0,3.0,0,1,1,0
CYQG,2026-04-16T17:00:00.000Z,9.0,11.0,1,0,2,1
CYQB,2026-04-16T17:00:00.000Z,1.25,9.0,0,1,1,0
CYPL,2026-04-16T17:00:00.000Z,9.0,6.0,0,0,0,0
CYMH,2026-04-16T17:00:00.000Z,9.0,14.0,0,0,0,0
CYKL,2026-04-16T17:00:00.000Z,9.0,0.0,0,0,0,0
CYGL,2026-04-16T17:00:00.000Z,15.0,14.0,0,0,0,0
CYFT,2026-04-16T17:00:00.000Z,15.0,20.0,0,0,0,0
CYFB,2026-04-16T17:00:00.000Z,20.0,19.0,1,0,2,1
CYEG,2026-04-16T17:00:00.000Z,15.0,7.0,1,0,2,1
CYAW,2026-04-16T17:00:00.000Z,12.0,10.0,0,0,0,0
UHHH,2026-04-16T17:00:00.000Z,3.73,4.0,0,0,0,0
UHPP,2026-04-16T17:00:00.000Z,1.62,2.0,1,1,3,1
UHMM,2026-04-16T17:00:00.000Z,5.59,8.0,1,0,2,1
RKJB,2026-04-16T17:00:00.000Z,4.35,3.0,0,0,0,0
VANP,2026-04-16T17:00:00.000Z,3.11,3.0,0,0,0,0
VILK,2026-04-16T17:00:00.000Z,2.49,2.0,0,1,1,0
VEBS,2026-04-16T17:00:00.000Z,2.17,12.0,0,1,1,0
VAID,2026-04-16T17:00:00.000Z,3.11,5.0,0,0,0,0
VOTV,2026-04-16T17:00:00.000Z,4.97,3.0,0,0,0,0
VOBG,2026-04-16T17:00:00.000Z,3.73,8.0,0,0,0,0
LPHR,2026-04-16T17:00:00.000Z,3.11,10.0,1,1,3,1
SLRQ,2026-04-16T17:00:00.000Z,3.11,3.0,1,0,2,1
WAAA,2026-04-16T17:00:00.000Z,4.97,2.0,0,0,0,0
ZBAA,2026-04-16T17:00:00.000Z,3.73,4.0,0,0,0,0
ZBAD,2026-04-16T17:00:00.000Z,3.11,6.0,0,0,0,0
ZBTJ,2026-04-16T17:00:00.000Z,1.37,2.0,0,1,1,0
ZSHC,2026-04-16T17:00:00.000Z,2.8,4.0,0,1,1,0
ZYTL,2026-04-16T17:00:00.000Z,1.86,6.0,1,1,3,1
SADP,2026-04-16T17:00:00.000Z,3.11,7.0,0,0,0,0
DTTF,2026-04-16T17:00:00.000Z,4.97,17.0,0,0,0,0
DTTG,2026-04-16T17:00:00.000Z,4.97,13.0,0,0,0,0
MDBH,2026-04-16T17:00:00.000Z,4.97,12.0,0,0,0,0
VYYY,2026-04-16T17:00:00.000Z,4.35,6.0,0,0,0,0
VDSV,2026-04-16T17:00:00.000Z,5.59,6.0,0,0,0,0
UCFO,2026-04-16T17:00:00.000Z,4.97,4.0,1,0,2,1
VEPT,2026-04-16T17:00:00.000Z,1.86,10.0,0,1,1,0
VTCC,2026-04-16T17:00:00.000Z,4.97,5.0,0,0,0,0
VTBU,2026-04-16T17:00:00.000Z,4.35,9.0,0,0,0,0
ROMY,2026-04-16T17:00:00.000Z,4.35,2.0,1,0,2,1
RORK,2026-04-16T17:00:00.000Z,4.97,13.0,0,0,0,0
WAJJ,2026-04-16T17:00:00.000Z,5.59,0.0,0,0,0,0
WILL,2026-04-16T17:00:00.000Z,1.37,1.0,0,1,1,0
WIBB,2026-04-16T17:00:00.000Z,4.35,0.0,0,0,0,0
WIDN,2026-04-16T17:00:00.000Z,5.59,1.0,0,0,0,0
WIPP,2026-04-16T17:00:00.000Z,3.11,3.0,0,0,0,0
WALL,2026-04-16T17:00:00.000Z,5.59,2.0,0,0,0,0
WADL,2026-04-16T17:00:00.000Z,4.35,0.0,0,0,0,0
WAHI,2026-04-16T17:00:00.000Z,5.59,5.0,0,0,0,0
VTCT,2026-04-16T17:00:00.000Z,4.35,8.0,0,0,0,0
VVPB,2026-04-16T17:00:00.000Z,5.59,3.0,0,0,0,0
VIJP,2026-04-16T17:00:00.000Z,2.49,3.0,0,1,1,0
VIAR,2026-04-16T17:00:00.000Z,1.55,11.0,0,1,1,0
MGRT,2026-04-16T17:00:00.000Z,4.97,0.0,0,0,0,0
SAEZ,2026-04-16T17:00:00.000Z,5.59,7.0,0,0,0,0
VGHS,2026-04-16T17:00:00.000Z,2.49,3.0,0,1,1,0
OPMT,2026-04-16T17:00:00.000Z,2.49,8.0,0,1,1,0
UBBL,2026-04-16T17:00:00.000Z,5.59,7.0,0,0,0,0
OPFA,2026-04-16T17:00:00.000Z,2.49,10.0,0,1,1,0
OPIS,2026-04-16T17:00:00.000Z,3.11,12.0,1,0,2,1
VECC,2026-04-16T17:00:00.000Z,1.99,7.0,0,1,1,0
CYQQ,2026-04-16T17:00:00.000Z,20.0,8.0,0,0,0,0
OPPS,2026-04-16T17:00:00.000Z,2.49,12.0,1,1,3,1
MDPP,2026-04-16T17:00:00.000Z,4.97,7.0,0,0,0,0
MGPB,2026-04-16T17:00:00.000Z,4.97,8.0,0,0,0,0
TFFJ,2026-04-16T17:00:00.000Z,5.59,12.0,0,0,0,0
WIII,2026-04-16T17:00:00.000Z,4.35,6.0,1,0,2,1
SPJC,2026-04-16T17:00:00.000Z,3.11,7.0,0,0,0,0
UTAM,2026-04-16T17:00:00.000Z,3.73,4.0,0,0,0,0
UAOO,2026-04-16T17:00:00.000Z,5.59,4.0,1,0,2,1
VOTR,2026-04-16T17:00:00.000Z,3.73,6.0,0,0,0,0
CYWL,2026-04-16T17:00:00.000Z,15.0,14.0,0,0,0,0
CYSY,2026-04-16T17:00:00.000Z,15.0,9.0,0,0,0,0
CYBK,2026-04-16T17:00:00.000Z,25.0,7.0,0,0,0,0
UTDD,2026-04-16T17:00:00.000Z,3.73,4.0,0,0,0,0
VOPB,2026-04-16T17:00:00.000Z,3.11,2.0,0,0,0,0
SPTU,2026-04-16T17:00:00.000Z,5.59,6.0,1,0,2,1
SPRU,2026-04-16T17:00:00.000Z,3.73,11.0,0,0,0,0
WIHH,2026-04-16T17:00:00.000Z,3.73,1.0,0,0,0,0
VOKN,2026-04-16T17:00:00.000Z,2.49,2.0,0,1,1,0
VAHS,2026-04-16T17:00:00.000Z,3.73,5.0,0,0,0,0
ZGOW,2026-04-16T17:00:00.000Z,4.97,2.0,0,0,0,0
ZSAM,2026-04-16T17:00:00.000Z,2.8,4.0,0,1,1,0
ZSFZ,2026-04-16T17:00:00.000Z,2.24,4.0,0,1,1,0
ZSQD,2026-04-16T17:00:00.000Z,4.35,6.0,0,0,0,0
ZBSJ,2026-04-16T17:00:00.000Z,1.37,2.0,0,1,1,0
ZGHA,2026-04-16T17:00:00.000Z,2.8,6.0,0,1,1,0
ZHCC,2026-04-16T17:00:00.000Z,3.11,2.0,0,0,0,0
ZSNJ,2026-04-16T17:00:00.000Z,2.8,4.0,0,1,1,0
ZHEC,2026-04-16T17:00:00.000Z,3.11,2.0,0,0,0,0
EIKY,2026-04-16T17:00:00.000Z,3.73,13.0,1,0,2,1
EISG,2026-04-16T17:00:00.000Z,3.11,11.0,0,0,0,0
EIWF,2026-04-16T17:00:00.000Z,3.11,16.0,1,0,2,1
RPLC,2026-04-16T17:00:00.000Z,4.97,2.0,0,0,0,0
DTMB,2026-04-16T17:00:00.000Z,4.97,14.0,0,0,0,0
VEMN,2026-04-16T17:00:00.000Z,1.86,0.0,0,1,1,0
VOBM,2026-04-16T17:00:00.000Z,3.73,8.0,0,0,0,0
FTTJ,2026-04-16T17:00:00.000Z,2.8,13.0,0,1,1,0
SBPJ,2026-04-16T17:00:00.000Z,5.59,4.0,1,0,2,1
GMAG,2026-04-16T17:00:00.000Z,3.73,14.0,0,0,0,0
CZBF,2026-04-16T17:00:00.000Z,9.0,4.0,0,1,1,0
GMMH,2026-04-16T17:00:00.000Z,4.97,19.0,0,0,0,0
GMML,2026-04-16T17:00:00.000Z,3.73,15.0,0,0,0,0
GMMI,2026-04-16T17:00:00.000Z,3.73,5.0,0,0,0,0
GMMZ,2026-04-16T17:00:00.000Z,3.11,9.0,0,0,0,0
CZST,2026-04-16T17:00:00.000Z,12.0,5.0,0,0,0,0
